shop_id,shop_name,date_paid_simple,order_num,order_amount,paid_user_num,type
2003,더제이수,2019-10-01,19,1289800,18,zpay
2003,더제이수,2019-10-01,46,2803762,46,meta
2220,크러시제이,2019-10-01,7,293000,7,zpay
5387,미니걸스,2019-10-01,9,589700,9,meta
2220,크러시제이,2019-10-01,32,1553990,32,meta
3492,바이비브,2019-10-01,9,617110,9,meta
6147,미코미코,2019-10-01,16,510200,16,meta
2413,드보우,2019-10-01,10,727800,10,meta
2413,드보우,2019-10-02,2,178500,2,meta
5387,미니걸스,2019-10-02,3,166200,3,meta
2003,더제이수,2019-10-02,12,705300,12,zpay
3492,바이비브,2019-10-02,3,476380,3,meta
2003,더제이수,2019-10-02,25,1890000,25,meta
6147,미코미코,2019-10-02,6,303200,6,meta
2220,크러시제이,2019-10-02,9,302500,9,zpay
2220,크러시제이,2019-10-02,26,1670200,26,meta
2003,더제이수,2019-10-03,16,902500,16,zpay
5387,미니걸스,2019-10-03,1,48400,1,meta
2413,드보우,2019-10-03,6,222500,6,meta
2220,크러시제이,2019-10-03,16,1182840,16,meta
3492,바이비브,2019-10-03,6,293350,6,meta
2003,더제이수,2019-10-03,45,3339400,45,meta
2220,크러시제이,2019-10-03,7,315500,7,zpay
6147,미코미코,2019-10-03,6,181300,6,meta
6147,미코미코,2019-10-04,6,207500,6,meta
2413,드보우,2019-10-04,4,178000,4,meta
2220,크러시제이,2019-10-04,6,185000,6,zpay
2220,크러시제이,2019-10-04,12,567400,12,meta
5387,미니걸스,2019-10-04,6,339800,6,meta
2003,더제이수,2019-10-04,36,2264000,36,meta
2003,더제이수,2019-10-04,21,1090300,20,zpay
3492,바이비브,2019-10-04,5,315200,5,meta
2003,더제이수,2019-10-05,42,2829600,42,meta
2220,크러시제이,2019-10-05,7,204000,7,zpay
6147,미코미코,2019-10-05,6,272800,6,meta
2413,드보우,2019-10-05,1,38000,1,meta
5387,미니걸스,2019-10-05,7,330600,7,meta
2003,더제이수,2019-10-05,15,661200,15,zpay
2220,크러시제이,2019-10-05,11,632430,11,meta
2220,크러시제이,2019-10-06,18,801800,18,meta
5387,미니걸스,2019-10-06,5,283800,5,meta
6147,미코미코,2019-10-06,9,340900,9,meta
2413,드보우,2019-10-06,7,355500,7,meta
3492,바이비브,2019-10-06,4,216000,4,meta
2220,크러시제이,2019-10-06,9,480800,9,zpay
2003,더제이수,2019-10-06,27,1256900,25,zpay
2003,더제이수,2019-10-06,36,2277600,36,meta
3492,바이비브,2019-10-07,5,266450,5,meta
2003,더제이수,2019-10-07,35,1698500,34,zpay
2220,크러시제이,2019-10-07,24,1411700,24,meta
2220,크러시제이,2019-10-07,12,619300,12,zpay
5387,미니걸스,2019-10-07,4,300800,4,meta
2413,드보우,2019-10-07,6,367500,6,meta
2003,더제이수,2019-10-07,56,3819000,56,meta
6147,미코미코,2019-10-07,9,408200,9,meta
2003,더제이수,2019-10-08,46,3487100,46,meta
3492,바이비브,2019-10-08,5,362550,5,meta
2220,크러시제이,2019-10-08,19,1263040,19,meta
5387,미니걸스,2019-10-08,7,352900,7,meta
6147,미코미코,2019-10-08,7,305300,7,meta
2003,더제이수,2019-10-08,37,1970500,35,zpay
2220,크러시제이,2019-10-08,11,398700,11,zpay
2413,드보우,2019-10-08,5,178500,5,meta
3492,바이비브,2019-10-09,4,320550,4,meta
2413,드보우,2019-10-09,14,1227300,14,meta
2220,크러시제이,2019-10-09,12,414000,12,zpay
2003,더제이수,2019-10-09,26,1838900,26,zpay
2003,더제이수,2019-10-09,36,2591700,36,meta
6147,미코미코,2019-10-09,10,420300,10,meta
2220,크러시제이,2019-10-09,19,1348000,19,meta
5387,미니걸스,2019-10-09,4,211000,4,meta
3492,바이비브,2019-10-10,5,281000,5,meta
2003,더제이수,2019-10-10,28,1116500,28,zpay
2220,크러시제이,2019-10-10,18,1167500,18,meta
6147,미코미코,2019-10-10,6,343900,6,meta
2003,더제이수,2019-10-10,24,1368300,24,meta
2220,크러시제이,2019-10-10,20,1204300,19,zpay
2413,드보우,2019-10-10,8,468800,8,meta
6147,미코미코,2019-10-11,3,162000,3,meta
2003,더제이수,2019-10-11,16,1385600,16,meta
2220,크러시제이,2019-10-11,7,265000,7,zpay
3492,바이비브,2019-10-11,1,84500,1,meta
2003,더제이수,2019-10-11,22,1599600,22,zpay
2220,크러시제이,2019-10-11,13,541720,13,meta
5387,미니걸스,2019-10-11,5,297000,5,meta
2413,드보우,2019-10-11,2,96100,2,meta
5387,미니걸스,2019-10-12,5,297600,5,meta
2220,크러시제이,2019-10-12,19,1210500,19,meta
3492,바이비브,2019-10-12,2,57000,2,meta
2413,드보우,2019-10-12,2,322000,2,meta
2003,더제이수,2019-10-12,12,810900,12,zpay
2220,크러시제이,2019-10-12,5,138000,5,zpay
2003,더제이수,2019-10-12,15,1403830,15,meta
5387,미니걸스,2019-10-13,3,158700,3,meta
2220,크러시제이,2019-10-13,18,729700,18,meta
2003,더제이수,2019-10-13,17,1237500,17,zpay
2220,크러시제이,2019-10-13,10,351000,10,zpay
3492,바이비브,2019-10-13,3,123150,3,meta
2003,더제이수,2019-10-13,18,1291320,18,meta
6147,미코미코,2019-10-13,4,456900,4,meta
2413,드보우,2019-10-13,6,346600,6,meta
2220,크러시제이,2019-10-14,24,1117317,24,meta
3492,바이비브,2019-10-14,8,568200,8,meta
2003,더제이수,2019-10-14,40,2622900,40,meta
2413,드보우,2019-10-14,2,64000,2,meta
5387,미니걸스,2019-10-14,2,114300,2,meta
6147,미코미코,2019-10-14,6,338700,6,meta
2003,더제이수,2019-10-14,35,1812400,34,zpay
2220,크러시제이,2019-10-14,11,484800,11,zpay
6147,미코미코,2019-10-15,2,108000,2,meta
2220,크러시제이,2019-10-15,5,180000,5,zpay
3492,바이비브,2019-10-15,3,104500,3,meta
5387,미니걸스,2019-10-15,10,789800,10,meta
2413,드보우,2019-10-15,4,166500,4,meta
2003,더제이수,2019-10-15,31,2684662,31,meta
2220,크러시제이,2019-10-15,25,1763200,25,meta
2003,더제이수,2019-10-15,29,1585600,27,zpay
3492,바이비브,2019-10-16,5,243090,5,meta
6147,미코미코,2019-10-16,1,108000,1,meta
5387,미니걸스,2019-10-16,7,353900,7,meta
2220,크러시제이,2019-10-16,8,346000,8,zpay
2220,크러시제이,2019-10-16,21,1175900,21,meta
2003,더제이수,2019-10-16,30,2241291,30,meta
2003,더제이수,2019-10-16,26,1163800,26,zpay
2413,드보우,2019-10-16,16,869600,16,meta
2220,크러시제이,2019-10-17,11,477100,11,meta
2220,크러시제이,2019-10-17,10,683800,10,zpay
2413,드보우,2019-10-17,3,108000,3,meta
3492,바이비브,2019-10-17,7,461200,7,meta
6147,미코미코,2019-10-17,2,133700,2,meta
2003,더제이수,2019-10-17,25,1906680,25,meta
5387,미니걸스,2019-10-17,3,347500,3,meta
2003,더제이수,2019-10-17,14,626700,14,zpay
5387,미니걸스,2019-10-18,2,107300,2,meta
2003,더제이수,2019-10-18,7,297700,7,zpay
3492,바이비브,2019-10-18,3,146000,3,meta
2003,더제이수,2019-10-18,23,1960900,23,meta
2220,크러시제이,2019-10-18,10,403600,9,zpay
2220,크러시제이,2019-10-18,12,792600,12,meta
2413,드보우,2019-10-18,4,173500,4,meta
6147,미코미코,2019-10-18,1,51000,1,meta
2003,더제이수,2019-10-19,12,350400,12,zpay
5387,미니걸스,2019-10-19,6,464400,6,meta
2003,더제이수,2019-10-19,11,793955,11,meta
2220,크러시제이,2019-10-19,12,750110,12,meta
2413,드보우,2019-10-19,2,131700,2,meta
6147,미코미코,2019-10-19,2,88250,2,meta
2220,크러시제이,2019-10-19,4,243600,4,zpay
3492,바이비브,2019-10-19,6,506090,6,meta
6147,미코미코,2019-10-20,4,130470,4,meta
2220,크러시제이,2019-10-20,12,580400,11,zpay
5387,미니걸스,2019-10-20,6,275600,6,meta
2220,크러시제이,2019-10-20,15,1080900,14,meta
3492,바이비브,2019-10-20,5,422790,5,meta
2413,드보우,2019-10-20,4,321400,4,meta
2003,더제이수,2019-10-20,19,1219900,19,zpay
2003,더제이수,2019-10-20,18,1126450,18,meta
2003,더제이수,2019-10-21,30,2347222,30,meta
6147,미코미코,2019-10-21,9,373600,9,meta
2003,더제이수,2019-10-21,27,1538800,25,zpay
3492,바이비브,2019-10-21,6,489440,6,meta
2220,크러시제이,2019-10-21,9,501200,8,zpay
2220,크러시제이,2019-10-21,21,1209070,21,meta
2413,드보우,2019-10-21,5,460000,5,meta
5387,미니걸스,2019-10-21,3,160200,3,meta
5387,미니걸스,2019-10-22,6,480100,6,meta
2220,크러시제이,2019-10-22,13,556700,13,zpay
2413,드보우,2019-10-22,4,259000,4,meta
2003,더제이수,2019-10-22,14,1001350,14,meta
2003,더제이수,2019-10-22,29,1669100,29,zpay
3492,바이비브,2019-10-22,3,139200,3,meta
2220,크러시제이,2019-10-22,22,1266400,22,meta
6147,미코미코,2019-10-22,6,210750,6,meta
2220,크러시제이,2019-10-23,36,1815500,36,meta
2003,더제이수,2019-10-23,15,768700,15,meta
5387,미니걸스,2019-10-23,6,360400,6,meta
6147,미코미코,2019-10-23,6,239400,6,meta
2003,더제이수,2019-10-23,16,635350,16,zpay
3492,바이비브,2019-10-23,3,204100,3,meta
2220,크러시제이,2019-10-23,10,505300,9,zpay
2413,드보우,2019-10-23,6,328500,6,meta
6147,미코미코,2019-10-24,2,80800,2,meta
2220,크러시제이,2019-10-24,4,296000,4,zpay
5387,미니걸스,2019-10-24,6,422900,6,meta
2413,드보우,2019-10-24,5,331600,5,meta
2220,크러시제이,2019-10-24,13,769980,13,meta
