date_simple,shop_id,ranking,ranking_live,ranking_live_without_ad,bookmark_count,uv,bookmark_change_amount,goods_view_count,my_goods_count_change,meta_order_count,meta_order_amount,ad_display_view_count,ad_display_click_count,ad_display_billing_amount,ad_display_cash_amount,ad_display_free_amount,ad_display_total_amount,ad_display_add_cash_count,ad_display_add_cash_amount,ad_display_remain_cash_amount,ad_display_new_content_created_count,ad_display_new_goods_adopted_count,ad_display_content_total_running_count,ad_display_content_valid_running_count,ad_display_content_auto_scheduling_on_going_count,ad_display_content_auto_scheduling_elapsed_rate_avg,ad_display_content_rank_under_200_count,ad_display_content_with_daily_budget_count,ad_display_content_with_max_budget_count,ad_display_content_daily_budget_avg,ad_display_content_max_budget_avg,ad_display_content_first_running_count,ad_display_run_ordinal,ad_display_run_ordinal_day,ad_display_stop_ordinal,ad_display_stop_ordinal_day,ad_display_run_ordinal_final,ad_display_stop_ordinal_final,ad_display_status_final,ad_display_content_total_running_content_id_list,ad_display_content_valid_running_content_id_list,ad_display_content_auto_scheduling_on_going_content_id_list,ad_display_content_rank_under_200_content_id_list,ad_display_content_with_daily_budget_content_id_list,ad_display_content_with_max_budget_content_id_list,ad_display_content_first_running_content_id_list,shop_state_closed_to_normal,created_order_count,created_order_amount,created_order_item_count,paid_order_count,paid_order_amount,paid_order_item_count,refunded_order_count,refunded_order_amount,refunded_order_item_count,order_count,order_amount,date_simple,shop_id,shop_name,pv
2019-10-28,2003,179,173,272,81008,8453,357,16693,2852,48,3636800,143503,2737,315703,313343,0,313343,0,0,1233964,0,0,6,6,0,null,0,6,0,85000,null,0,3,530,3,-1,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,bec1038e-ade0-4490-ab14-4787e142ee0b,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,790d79fe-6a77-4816-abb2-dbdbe86c30f7,5d5b89a1-65f6-45b6-9c1b-4504f4860659","c05c6821-e183-4056-84fc-cf2fba5502e0,bec1038e-ade0-4490-ab14-4787e142ee0b,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,5d5b89a1-65f6-45b6-9c1b-4504f4860659",,,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,5d5b89a1-65f6-45b6-9c1b-4504f4860659,bec1038e-ade0-4490-ab14-4787e142ee0b,790d79fe-6a77-4816-abb2-dbdbe86c30f7",,,1,103,4342150,145,102,4271900,143,13,717350,19,48,3636800,2019-10-28,2003,더제이수,7553
2019-10-28,2220,242,228,334,59010,1406,114,2732,332,22,1141622,20578,312,45270,42814,0,42814,1,1000000,949605,0,0,4,4,0,null,1,4,0,30000,null,0,2,1,2,-1,2,2,1,"a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4","bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,"f7dc73a5-3057-442d-a634-9601f5b31af4,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,,1,10,285000,13,9,268000,12,3,105400,4,22,1141622,2019-10-28,2220,크러시제이,5753
2019-10-28,2413,1240,1058,748,28512,667,31,1335,92,5,519700,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-1,2,181,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,5,519700,2019-10-28,2413,드보우,2962
2019-10-28,3492,2408,1873,1538,1761,798,15,1169,136,2,120100,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-1,1,199,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,2,120100,2019-10-28,3492,바이비브,69
2019-10-28,5387,2354,1838,1486,2747,489,13,897,77,4,268800,0,0,0,0,0,0,0,0,44298,0,0,0,0,0,null,0,0,0,null,null,0,9,-1,8,229,9,8,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,4,268800,2019-10-28,5387,미니걸스,131
2019-10-28,6147,781,690,1259,2211,670,13,834,115,5,192900,29431,516,64747,64789,0,64789,0,0,21128,3,2,5,4,0,null,2,2,3,52500,10000,3,2,120,2,-1,2,2,1,"54c1d07f-5d45-4036-8512-1020578fb1b7,3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9,b6e8ac64-19ae-4f81-a247-5a26ba435f1d,ee26d050-172e-47c0-8e2c-642453ea737e","54c1d07f-5d45-4036-8512-1020578fb1b7,3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,"54c1d07f-5d45-4036-8512-1020578fb1b7,3e17fa2c-31ac-4739-882a-4fa1043eb569","54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d","ee26d050-172e-47c0-8e2c-642453ea737e,3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9","3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9,ee26d050-172e-47c0-8e2c-642453ea737e",1,0,0,0,0,0,0,0,0,0,5,192900,2019-10-28,6147,미코미코,319
2019-10-27,2003,179,173,270,80651,8055,358,16470,2559,37,2659950,149751,3205,329450,332329,0,332329,0,0,1547307,0,0,4,4,0,null,0,4,0,87500,null,0,3,529,3,-2,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,790d79fe-6a77-4816-abb2-dbdbe86c30f7","c05c6821-e183-4056-84fc-cf2fba5502e0,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928",,,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,790d79fe-6a77-4816-abb2-dbdbe86c30f7",,,1,87,5273400,150,82,5121600,145,3,56500,3,37,2659950,2019-10-27,2003,더제이수,5613
2019-10-27,2220,236,223,334,58896,837,68,1530,55,8,482400,713,13,1568,5802,0,5802,0,0,-7581,0,0,4,0,0,null,3,4,0,30000,null,0,2,-1,1,1,2,2,1,"a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4",,,"bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f","f7dc73a5-3057-442d-a634-9601f5b31af4,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,,1,2,72000,2,2,72000,2,0,0,0,8,482400,2019-10-27,2220,크러시제이,2740
2019-10-27,2413,1236,1056,744,28481,483,25,955,15,1,131200,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-2,2,180,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,1,131200,2019-10-27,2413,드보우,1524
2019-10-27,3492,2412,1876,1538,1746,781,13,1136,106,3,286780,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-2,1,198,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,3,286780,2019-10-27,3492,바이비브,120
